id,name,description,url,image_cover_url,follower_count,section_count,pin_count,category,privacy,modifiedAt,owner_username,owner_full_name,owner_image_medium_url
917819667748434163,Pack An Order With Me Videos,,/bowandarrowsupplycompany/pack-an-order-with-me-videos/,https://i.pinimg.com/200x150/38/cf/c8/38cfc8888a9cce0807dffc2902df5f85.jpg,3124,0,32,,public,2023-02-15 22:00:44,bowandarrowsupplycompany,Bow + Arrow Supply Co.,https://i.pinimg.com/75x75_RS/ee/33/8a/ee338aac4d2e13ae8b21b538ce7366a9.jpg
112027178170142965,Men's Fashion,,/Walmart/mens-fashion/,https://i.pinimg.com/200x150/89/45/9c/89459cf0088c6e7e022331a2ed54e33c.jpg,2276642,1,25,mens_fashion,public,2023-08-25 19:20:07,Walmart,Walmart,https://i.pinimg.com/75x75_RS/7f/d2/07/7fd207a1929860fd93ec684eb717a4b4.jpg
112027178170277580,"Party Apps, Dips & Big Game Day Bites","Discover game day appetizer and dip ideas that can be fulfilled by Walmart. Click into each recipe to ""Shop Ingredients"" with just one-click!",/Walmart/party-apps-dips-big-game-day-bites/,https://i.pinimg.com/200x150/1d/6d/4c/1d6d4c47e262f0e85b8ba3d48bc4d7e1.jpg,2276644,0,28,,public,2026-02-04 16:56:03,Walmart,Walmart,https://i.pinimg.com/75x75_RS/7f/d2/07/7fd207a1929860fd93ec684eb717a4b4.jpg
112027178170277580,"Party Apps, Dips & Big Game Day Bites","Discover game day appetizer and dip ideas that can be fulfilled by Walmart. Click into each recipe to ""Shop Ingredients"" with just one-click!",/Walmart/party-apps-dips-big-game-day-bites/,https://i.pinimg.com/200x150/1d/6d/4c/1d6d4c47e262f0e85b8ba3d48bc4d7e1.jpg,2276644,0,28,,public,2026-02-04 16:56:03,Walmart,Walmart,https://i.pinimg.com/75x75_RS/7f/d2/07/7fd207a1929860fd93ec684eb717a4b4.jpg
112027178170277580,"Party Apps, Dips & Big Game Day Bites","Discover game day appetizer and dip ideas that can be fulfilled by Walmart. Click into each recipe to ""Shop Ingredients"" with just one-click!",/Walmart/party-apps-dips-big-game-day-bites/,https://i.pinimg.com/200x150/1d/6d/4c/1d6d4c47e262f0e85b8ba3d48bc4d7e1.jpg,2276644,0,28,,public,2026-02-04 16:56:03,Walmart,Walmart,https://i.pinimg.com/75x75_RS/7f/d2/07/7fd207a1929860fd93ec684eb717a4b4.jpg
112027178170277580,"Party Apps, Dips & Big Game Day Bites","Discover game day appetizer and dip ideas that can be fulfilled by Walmart. Click into each recipe to ""Shop Ingredients"" with just one-click!",/Walmart/party-apps-dips-big-game-day-bites/,https://i.pinimg.com/200x150/1d/6d/4c/1d6d4c47e262f0e85b8ba3d48bc4d7e1.jpg,2276644,0,28,,public,2026-02-04 16:56:03,Walmart,Walmart,https://i.pinimg.com/75x75_RS/7f/d2/07/7fd207a1929860fd93ec684eb717a4b4.jpg
112027178170277580,"Party Apps, Dips & Big Game Day Bites","Discover game day appetizer and dip ideas that can be fulfilled by Walmart. Click into each recipe to ""Shop Ingredients"" with just one-click!",/Walmart/party-apps-dips-big-game-day-bites/,https://i.pinimg.com/200x150/1d/6d/4c/1d6d4c47e262f0e85b8ba3d48bc4d7e1.jpg,2276644,0,28,,public,2026-02-04 16:56:03,Walmart,Walmart,https://i.pinimg.com/75x75_RS/7f/d2/07/7fd207a1929860fd93ec684eb717a4b4.jpg
112027178170277580,"Party Apps, Dips & Big Game Day Bites","Discover game day appetizer and dip ideas that can be fulfilled by Walmart. Click into each recipe to ""Shop Ingredients"" with just one-click!",/Walmart/party-apps-dips-big-game-day-bites/,https://i.pinimg.com/200x150/1d/6d/4c/1d6d4c47e262f0e85b8ba3d48bc4d7e1.jpg,2276644,0,28,,public,2026-02-04 16:56:03,Walmart,Walmart,https://i.pinimg.com/75x75_RS/7f/d2/07/7fd207a1929860fd93ec684eb717a4b4.jpg
112027178170277580,"Party Apps, Dips & Big Game Day Bites","Discover game day appetizer and dip ideas that can be fulfilled by Walmart. Click into each recipe to ""Shop Ingredients"" with just one-click!",/Walmart/party-apps-dips-big-game-day-bites/,https://i.pinimg.com/200x150/1d/6d/4c/1d6d4c47e262f0e85b8ba3d48bc4d7e1.jpg,2276644,0,28,,public,2026-02-04 16:56:03,Walmart,Walmart,https://i.pinimg.com/75x75_RS/7f/d2/07/7fd207a1929860fd93ec684eb717a4b4.jpg
112027178170277580,"Party Apps, Dips & Big Game Day Bites","Discover game day appetizer and dip ideas that can be fulfilled by Walmart. Click into each recipe to ""Shop Ingredients"" with just one-click!",/Walmart/party-apps-dips-big-game-day-bites/,https://i.pinimg.com/200x150/1d/6d/4c/1d6d4c47e262f0e85b8ba3d48bc4d7e1.jpg,2276644,0,28,,public,2026-02-04 16:56:03,Walmart,Walmart,https://i.pinimg.com/75x75_RS/7f/d2/07/7fd207a1929860fd93ec684eb717a4b4.jpg
